Collection,Style Code,Style Name,Colour,S,M,L,XL,Style Total
SS2026,ST-RN-001,Round Neck,Jet Black,22,53,53,22,150
SS2026,ST-VN-003,V-Neck,Jet Black,22,53,53,22,150
SS2026,ST-RN-001,Round Neck,Bright White,19,44,43,19,125
SS2026,ST-VN-003,V-Neck,Bright White,19,44,43,19,125
SS2026,ST-RN-001,Round Neck,Seaport Teal,15,35,35,15,100
SS2026,ST-VN-003,V-Neck,Seaport Teal,15,35,35,15,100
SS2026,ST-RN-001,Round Neck,Wild Ginger,15,35,35,15,100
SS2026,ST-VN-003,V-Neck,Wild Ginger,15,35,35,15,100
SS2026,ST-RN-001,Round Neck,Brown Sugar,19,44,43,19,125
SS2026,ST-VN-003,V-Neck,Brown Sugar,19,44,43,19,125
,,,,,,,,1200
